date,daily_cases,positive,daily_death,death,state
2019-12-31,0,0,0,0,ET
2020-01-01,0,0,0,0,ET
2020-01-02,0,0,0,0,ET
2020-01-03,0,0,0,0,ET
2020-01-04,0,0,0,0,ET
2020-01-05,0,0,0,0,ET
2020-01-06,0,0,0,0,ET
2020-01-07,0,0,0,0,ET
2020-01-08,0,0,0,0,ET
2020-01-09,0,0,0,0,ET
2020-01-10,0,0,0,0,ET
2020-01-11,0,0,0,0,ET
2020-01-12,0,0,0,0,ET
2020-01-13,0,0,0,0,ET
2020-01-14,0,0,0,0,ET
2020-01-15,0,0,0,0,ET
2020-01-16,0,0,0,0,ET
2020-01-17,0,0,0,0,ET
2020-01-18,0,0,0,0,ET
2020-01-19,0,0,0,0,ET
2020-01-20,0,0,0,0,ET
2020-01-21,0,0,0,0,ET
2020-01-22,0,0,0,0,ET
2020-01-23,0,0,0,0,ET
2020-01-24,0,0,0,0,ET
2020-01-25,0,0,0,0,ET
2020-01-26,0,0,0,0,ET
2020-01-27,0,0,0,0,ET
2020-01-28,0,0,0,0,ET
2020-01-29,0,0,0,0,ET
2020-01-30,0,0,0,0,ET
2020-01-31,0,0,0,0,ET
2020-02-01,0,0,0,0,ET
2020-02-02,0,0,0,0,ET
2020-02-03,0,0,0,0,ET
2020-02-04,0,0,0,0,ET
2020-02-05,0,0,0,0,ET
2020-02-06,0,0,0,0,ET
2020-02-07,0,0,0,0,ET
2020-02-08,0,0,0,0,ET
2020-02-09,0,0,0,0,ET
2020-02-10,0,0,0,0,ET
2020-02-11,0,0,0,0,ET
2020-02-12,0,0,0,0,ET
2020-02-13,0,0,0,0,ET
2020-02-14,0,0,0,0,ET
2020-02-15,0,0,0,0,ET
2020-02-16,0,0,0,0,ET
2020-02-17,0,0,0,0,ET
2020-02-18,0,0,0,0,ET
2020-02-19,0,0,0,0,ET
2020-02-20,0,0,0,0,ET
2020-02-21,0,0,0,0,ET
2020-02-22,0,0,0,0,ET
2020-02-23,0,0,0,0,ET
2020-02-24,0,0,0,0,ET
2020-02-25,0,0,0,0,ET
2020-02-26,0,0,0,0,ET
2020-02-27,0,0,0,0,ET
2020-02-28,0,0,0,0,ET
2020-02-29,0,0,0,0,ET
2020-03-01,0,0,0,0,ET
2020-03-02,0,0,0,0,ET
2020-03-03,0,0,0,0,ET
2020-03-04,0,0,0,0,ET
2020-03-05,0,0,0,0,ET
2020-03-06,0,0,0,0,ET
2020-03-07,0,0,0,0,ET
2020-03-08,0,0,0,0,ET
2020-03-09,0,0,0,0,ET
2020-03-10,0,0,0,0,ET
2020-03-11,0,0,0,0,ET
2020-03-12,0,0,0,0,ET
2020-03-13,1,1,0,0,ET
2020-03-14,0,1,0,0,ET
2020-03-15,3,4,0,0,ET
2020-03-16,1,5,0,0,ET
2020-03-17,1,6,0,0,ET
2020-03-18,0,6,0,0,ET
2020-03-19,3,9,0,0,ET
2020-03-20,0,9,0,0,ET
2020-03-21,0,9,0,0,ET
2020-03-22,2,11,0,0,ET
2020-03-23,0,11,0,0,ET
2020-03-24,1,12,0,0,ET
2020-03-25,0,12,0,0,ET
2020-03-26,0,12,0,0,ET
2020-03-27,4,16,0,0,ET
2020-03-28,0,16,0,0,ET
2020-03-29,5,21,0,0,ET
2020-03-30,2,23,0,0,ET
2020-03-31,3,26,0,0,ET
2020-04-01,3,29,0,0,ET
2020-04-02,0,29,0,0,ET
2020-04-03,6,35,0,0,ET
2020-04-04,3,38,0,0,ET
2020-04-05,5,43,2,2,ET
2020-04-06,1,44,0,2,ET
2020-04-07,8,52,0,2,ET
2020-04-08,3,55,0,2,ET
2020-04-09,1,56,0,2,ET
2020-04-10,9,65,1,3,ET
2020-04-11,4,69,0,3,ET
2020-04-12,2,71,0,3,ET
2020-04-13,3,74,0,3,ET
2020-04-14,8,82,0,3,ET
2020-04-15,3,85,0,3,ET
2020-04-16,7,92,0,3,ET
2020-04-17,4,96,0,3,ET
2020-04-18,9,105,0,3,ET
2020-04-19,3,108,0,3,ET
2020-04-20,3,111,0,3,ET
2020-04-21,3,114,0,3,ET
2020-04-22,2,116,0,3,ET
2020-04-23,0,116,0,3,ET
2020-04-24,1,117,0,3,ET
2020-04-25,5,122,0,3,ET
2020-04-26,1,123,0,3,ET
2020-04-27,1,124,0,3,ET
2020-04-28,2,126,0,3,ET
2020-04-29,4,130,0,3,ET
2020-04-30,1,131,0,3,ET
2020-05-01,2,133,0,3,ET
2020-05-02,0,133,0,3,ET
2020-05-03,0,133,0,3,ET
2020-05-04,7,140,0,3,ET
2020-05-05,5,145,0,3,ET
2020-05-06,17,162,0,3,ET
2020-05-07,25,187,1,4,ET
2020-05-08,7,194,0,4,ET
2020-05-09,16,210,1,5,ET
2020-05-10,29,239,0,5,ET
2020-05-11,11,250,0,5,ET
2020-05-12,11,261,0,5,ET
2020-05-13,2,263,0,5,ET
2020-05-14,9,272,0,5,ET
2020-05-15,15,287,0,5,ET
2020-05-16,19,306,0,5,ET
2020-05-17,11,317,0,5,ET
2020-05-18,35,352,0,5,ET
2020-05-19,13,365,0,5,ET
2020-05-20,24,389,0,5,ET
2020-05-21,0,389,0,5,ET
2020-05-22,0,389,0,5,ET
2020-05-23,44,433,0,5,ET
2020-05-24,61,494,0,5,ET
2020-05-25,88,582,0,5,ET
2020-05-26,73,655,1,6,ET
2020-05-27,46,701,0,6,ET
2020-05-28,30,731,1,7,ET
2020-05-29,100,831,1,8,ET
2020-05-30,137,968,0,8,ET
2020-05-31,95,1063,3,11,ET
2020-06-01,109,1172,1,12,ET
2020-06-02,85,1257,2,14,ET
2020-06-03,87,1344,3,17,ET
2020-06-04,142,1486,1,18,ET
2020-06-05,150,1636,1,19,ET
2020-06-06,169,1805,1,20,ET
2020-06-07,129,1934,7,27,ET
2020-06-08,86,2020,0,27,ET
2020-06-09,136,2156,5,32,ET
2020-06-10,180,2336,3,35,ET
2020-06-11,170,2506,5,40,ET
2020-06-12,164,2670,7,47,ET
2020-06-13,245,2915,8,55,ET
2020-06-14,251,3166,2,57,ET
2020-06-15,179,3345,3,60,ET
2020-06-16,176,3521,1,61,ET
2020-06-17,109,3630,2,63,ET
2020-06-18,129,3759,2,65,ET
2020-06-19,195,3954,7,72,ET
2020-06-20,116,4070,2,74,ET
2020-06-21,462,4532,0,74,ET
2020-06-22,63,4595,1,75,ET
2020-06-23,68,4663,0,75,ET
2020-06-24,185,4848,3,78,ET
2020-06-25,186,5034,3,81,ET
2020-06-26,141,5175,8,89,ET
2020-06-27,250,5425,5,94,ET
2020-06-28,145,5570,4,98,ET
2020-06-29,119,5689,5,103,ET
2020-06-30,157,5846,0,103,ET
2020-07-01,202,6048,4,107,ET
2020-07-02,79,6127,0,107,ET
2020-07-03,36,6163,7,114,ET
2020-07-04,54,6217,2,116,ET
2020-07-05,169,6386,3,119,ET
2020-07-06,178,6564,0,119,ET
2020-07-07,102,6666,1,120,ET
2020-07-08,108,6774,0,120,ET
2020-07-09,199,6973,0,120,ET
2020-07-10,147,7120,4,124,ET
2020-07-11,282,7402,0,124,ET
2020-07-12,158,7560,3,127,ET
2020-07-13,206,7766,1,128,ET
2020-07-14,203,7969,11,139,ET
2020-07-15,212,8181,0,139,ET
2020-07-16,294,8475,9,148,ET
2020-07-17,328,8803,0,148,ET
2020-07-18,344,9147,19,167,ET
2020-07-19,356,9503,0,167,ET
2020-07-20,704,10207,3,170,ET
2020-07-21,304,10511,3,173,ET
