,date,state,positive,death
0,2020-01-22,ET,0,0
1,2020-01-23,ET,0,0
2,2020-01-24,ET,0,0
3,2020-01-25,ET,0,0
4,2020-01-26,ET,0,0
5,2020-01-27,ET,0,0
6,2020-01-28,ET,0,0
7,2020-01-29,ET,0,0
8,2020-01-30,ET,0,0
9,2020-01-31,ET,0,0
10,2020-02-01,ET,0,0
11,2020-02-02,ET,0,0
12,2020-02-03,ET,0,0
13,2020-02-04,ET,0,0
14,2020-02-05,ET,0,0
15,2020-02-06,ET,0,0
16,2020-02-07,ET,0,0
17,2020-02-08,ET,0,0
18,2020-02-09,ET,0,0
19,2020-02-10,ET,0,0
20,2020-02-11,ET,0,0
21,2020-02-12,ET,0,0
22,2020-02-13,ET,0,0
23,2020-02-14,ET,0,0
24,2020-02-15,ET,0,0
25,2020-02-16,ET,0,0
26,2020-02-17,ET,0,0
27,2020-02-18,ET,0,0
28,2020-02-19,ET,0,0
29,2020-02-20,ET,0,0
30,2020-02-21,ET,0,0
31,2020-02-22,ET,0,0
32,2020-02-23,ET,0,0
33,2020-02-24,ET,0,0
34,2020-02-25,ET,0,0
35,2020-02-26,ET,0,0
36,2020-02-27,ET,0,0
37,2020-02-28,ET,0,0
38,2020-02-29,ET,0,0
39,2020-03-01,ET,0,0
40,2020-03-02,ET,0,0
41,2020-03-03,ET,0,0
42,2020-03-04,ET,0,0
43,2020-03-05,ET,0,0
44,2020-03-06,ET,0,0
45,2020-03-07,ET,0,0
46,2020-03-08,ET,0,0
47,2020-03-09,ET,0,0
48,2020-03-10,ET,0,0
49,2020-03-11,ET,0,0
50,2020-03-12,ET,0,0
51,2020-03-13,ET,1,0
52,2020-03-14,ET,1,0
53,2020-03-15,ET,1,0
54,2020-03-16,ET,5,0
55,2020-03-17,ET,5,0
56,2020-03-18,ET,6,0
57,2020-03-19,ET,6,0
58,2020-03-20,ET,9,0
59,2020-03-21,ET,9,0
60,2020-03-22,ET,11,0
61,2020-03-23,ET,11,0
62,2020-03-24,ET,12,0
63,2020-03-25,ET,12,0
64,2020-03-26,ET,12,0
65,2020-03-27,ET,16,0
66,2020-03-28,ET,16,0
67,2020-03-29,ET,21,0
68,2020-03-30,ET,23,0
69,2020-03-31,ET,26,0
70,2020-04-01,ET,29,0
71,2020-04-02,ET,29,0
72,2020-04-03,ET,35,0
73,2020-04-04,ET,38,0
74,2020-04-05,ET,43,2
75,2020-04-06,ET,44,2
76,2020-04-07,ET,52,2
77,2020-04-08,ET,55,2
78,2020-04-09,ET,56,2
79,2020-04-10,ET,65,3
80,2020-04-11,ET,69,3
81,2020-04-12,ET,71,3
82,2020-04-13,ET,74,3
83,2020-04-14,ET,82,3
84,2020-04-15,ET,85,3
85,2020-04-16,ET,92,3
86,2020-04-17,ET,96,3
87,2020-04-18,ET,105,3
88,2020-04-19,ET,108,3
89,2020-04-20,ET,111,3
90,2020-04-21,ET,114,3
91,2020-04-22,ET,116,3
92,2020-04-23,ET,116,3
93,2020-04-24,ET,117,3
94,2020-04-25,ET,122,3
95,2020-04-26,ET,123,3
96,2020-04-27,ET,124,3
97,2020-04-28,ET,126,3
98,2020-04-29,ET,130,3
99,2020-04-30,ET,131,3
100,2020-05-01,ET,133,3
101,2020-05-02,ET,133,3
102,2020-05-03,ET,135,3
103,2020-05-04,ET,140,3
104,2020-05-05,ET,145,4
105,2020-05-06,ET,162,4
106,2020-05-07,ET,191,4
107,2020-05-08,ET,194,4
108,2020-05-09,ET,210,5
109,2020-05-10,ET,239,5
110,2020-05-11,ET,250,5
111,2020-05-12,ET,261,5
112,2020-05-13,ET,263,5
113,2020-05-14,ET,272,5
114,2020-05-15,ET,287,5
115,2020-05-16,ET,306,5
116,2020-05-17,ET,317,5
117,2020-05-18,ET,352,5
118,2020-05-19,ET,365,5
119,2020-05-20,ET,389,5
