date,state,positive,death
2020-01-22,ET,0,0
2020-01-23,ET,0,0
2020-01-24,ET,0,0
2020-01-25,ET,0,0
2020-01-26,ET,0,0
2020-01-27,ET,0,0
2020-01-28,ET,0,0
2020-01-29,ET,0,0
2020-01-30,ET,0,0
2020-01-31,ET,0,0
2020-02-01,ET,0,0
2020-02-02,ET,0,0
2020-02-03,ET,0,0
2020-02-04,ET,0,0
2020-02-05,ET,0,0
2020-02-06,ET,0,0
2020-02-07,ET,0,0
2020-02-08,ET,0,0
2020-02-09,ET,0,0
2020-02-10,ET,0,0
2020-02-11,ET,0,0
2020-02-12,ET,0,0
2020-02-13,ET,0,0
2020-02-14,ET,0,0
2020-02-15,ET,0,0
2020-02-16,ET,0,0
2020-02-17,ET,0,0
2020-02-18,ET,0,0
2020-02-19,ET,0,0
2020-02-20,ET,0,0
2020-02-21,ET,0,0
2020-02-22,ET,0,0
2020-02-23,ET,0,0
2020-02-24,ET,0,0
2020-02-25,ET,0,0
2020-02-26,ET,0,0
2020-02-27,ET,0,0
2020-02-28,ET,0,0
2020-02-29,ET,0,0
2020-03-01,ET,0,0
2020-03-02,ET,0,0
2020-03-03,ET,0,0
2020-03-04,ET,0,0
2020-03-05,ET,0,0
2020-03-06,ET,0,0
2020-03-07,ET,0,0
2020-03-08,ET,0,0
2020-03-09,ET,0,0
2020-03-10,ET,0,0
2020-03-11,ET,0,0
2020-03-12,ET,0,0
2020-03-13,ET,1,0
2020-03-14,ET,1,0
2020-03-15,ET,1,0
2020-03-16,ET,5,0
2020-03-17,ET,5,0
2020-03-18,ET,6,0
2020-03-19,ET,6,0
2020-03-20,ET,9,0
2020-03-21,ET,9,0
2020-03-22,ET,11,0
2020-03-23,ET,11,0
2020-03-24,ET,12,0
2020-03-25,ET,12,0
2020-03-26,ET,12,0
2020-03-27,ET,16,0
2020-03-28,ET,16,0
2020-03-29,ET,21,0
2020-03-30,ET,23,0
2020-03-31,ET,26,0
2020-04-01,ET,29,0
2020-04-02,ET,29,0
2020-04-03,ET,35,0
2020-04-04,ET,38,0
2020-04-05,ET,43,2
2020-04-06,ET,44,2
2020-04-07,ET,52,2
2020-04-08,ET,55,2
2020-04-09,ET,56,2
2020-04-10,ET,65,3
2020-04-11,ET,69,3
2020-04-12,ET,71,3
2020-04-13,ET,74,3
2020-04-14,ET,82,3
2020-04-15,ET,85,3
2020-04-16,ET,92,3
2020-04-17,ET,96,3
2020-04-18,ET,105,3
2020-04-19,ET,108,3
2020-04-20,ET,111,3
2020-04-21,ET,114,3
2020-04-22,ET,116,3
2020-04-23,ET,116,3
2020-04-24,ET,117,3
2020-04-25,ET,122,3
2020-04-26,ET,123,3
2020-04-27,ET,124,3
2020-04-28,ET,126,3
2020-04-29,ET,130,3
2020-04-30,ET,131,3
2020-05-01,ET,133,3
2020-05-02,ET,133,3
2020-05-03,ET,135,3
2020-05-04,ET,140,3
2020-05-05,ET,145,4
2020-05-06,ET,162,4
2020-05-07,ET,191,4
2020-05-08,ET,194,4
2020-05-09,ET,210,5
2020-05-10,ET,239,5
2020-05-11,ET,250,5
2020-05-12,ET,261,5
2020-05-13,ET,263,5
2020-05-14,ET,272,5
2020-05-15,ET,287,5
2020-05-16,ET,306,5
2020-05-17,ET,317,5
2020-05-18,ET,352,5
2020-05-19,ET,365,5
2020-05-20,ET,389,5
2020-05-21,ET,399,5
2020-05-22,ET,433,5
2020-05-23,ET,494,5
2020-05-24,ET,582,5
2020-05-25,ET,655,5
2020-05-26,ET,701,6
2020-05-27,ET,731,6
2020-05-28,ET,831,7
2020-05-29,ET,968,8
2020-05-30,ET,1063,8
2020-05-31,ET,1172,11
2020-06-01,ET,1257,12
2020-06-02,ET,1344,14
2020-06-03,ET,1486,17
2020-06-04,ET,1636,18
2020-06-05,ET,1805,19
2020-06-06,ET,1934,20
2020-06-07,ET,2020,27
2020-06-08,ET,2156,27
2020-06-09,ET,2336,32
2020-06-10,ET,2506,35
2020-06-11,ET,2670,40
2020-06-12,ET,2915,47
2020-06-13,ET,3166,55
2020-06-14,ET,3345,57
2020-06-15,ET,3521,60
2020-06-16,ET,3630,61
2020-06-17,ET,3759,63
2020-06-18,ET,3954,65
2020-06-19,ET,4070,72
2020-06-20,ET,4469,72
2020-06-21,ET,4532,74
2020-06-22,ET,4663,75
2020-06-23,ET,4848,75
2020-06-24,ET,5034,78
2020-06-25,ET,5175,81
2020-06-26,ET,5425,89
2020-06-27,ET,5570,94
2020-06-28,ET,5689,98
2020-06-29,ET,5846,103
2020-06-30,ET,5846,103
2020-07-01,ET,5846,103
2020-07-02,ET,5846,103
2020-07-03,ET,5846,103
2020-07-04,ET,5846,103
2020-07-05,ET,5846,103
2020-07-06,ET,5846,103
2020-07-07,ET,5846,103
2020-07-08,ET,6774,120
2020-07-09,ET,6973,120
2020-07-10,ET,7120,124
2020-07-11,ET,7402,124
2020-07-12,ET,7560,127
2020-07-13,ET,7766,128
2020-07-14,ET,7969,139
2020-07-15,ET,8181,146
2020-07-16,ET,8475,148
2020-07-17,ET,8803,150
2020-07-18,ET,9147,163
2020-07-19,ET,9503,167
2020-07-20,ET,10207,170
2020-07-21,ET,11072,180
2020-07-22,ET,11524,188
2020-07-23,ET,11933,197
2020-07-24,ET,12693,200
2020-07-25,ET,13248,209
2020-07-26,ET,13968,223
2020-07-27,ET,14547,228
2020-07-28,ET,15200,239
2020-07-29,ET,15810,253
2020-07-30,ET,16615,263
2020-07-31,ET,17530,274
2020-08-01,ET,17999,284
2020-08-02,ET,18706,310
2020-08-03,ET,19289,336
2020-08-04,ET,19877,343
2020-08-05,ET,20336,356
2020-08-06,ET,20900,365
2020-08-07,ET,21452,380
2020-08-08,ET,22253,390
2020-08-09,ET,22818,407
2020-08-10,ET,23591,420
2020-08-11,ET,24175,440
2020-08-12,ET,25118,463
2020-08-13,ET,26204,479
2020-08-14,ET,27242,492
2020-08-15,ET,28894,509
2020-08-16,ET,29876,528
2020-08-17,ET,31336,544
2020-08-18,ET,32722,572
2020-08-19,ET,34058,600
2020-08-20,ET,35836,620
2020-08-21,ET,37665,637
2020-08-22,ET,39033,662
2020-08-23,ET,40671,678
2020-08-24,ET,42143,692
2020-08-25,ET,43688,709
2020-08-26,ET,45221,725
2020-08-27,ET,46407,745
2020-08-28,ET,48140,758
2020-08-29,ET,49654,770
2020-08-30,ET,51122,793
2020-08-31,ET,52131,809
2020-09-01,ET,53304,828
2020-09-02,ET,54409,846
2020-09-03,ET,55213,856
2020-09-04,ET,56516,880
2020-09-05,ET,57466,897
2020-09-06,ET,58672,918
2020-09-07,ET,59648,933
2020-09-08,ET,60784,949
2020-09-09,ET,61700,966
2020-09-10,ET,62578,974
2020-09-11,ET,63367,986
2020-09-12,ET,63888,996
2020-09-13,ET,64301,1013
2020-09-14,ET,64786,1022
2020-09-15,ET,65486,1035
2020-09-16,ET,66224,1045
2020-09-17,ET,66913,1060
2020-09-18,ET,67515,1072
2020-09-19,ET,68131,1089
2020-09-20,ET,68820,1096
2020-09-21,ET,69709,1108
2020-09-22,ET,70422,1127
2020-09-23,ET,71083,1141
2020-09-24,ET,71687,1148
2020-09-25,ET,72173,1155
2020-09-26,ET,72700,1165
2020-09-27,ET,73332,1170
2020-09-28,ET,73944,1177
2020-09-29,ET,74584,1191
2020-09-30,ET,75368,1198
2020-10-01,ET,76098,1205
2020-10-02,ET,76988,1208
2020-10-03,ET,77860,1214
2020-10-04,ET,78819,1222
2020-10-05,ET,79437,1230
2020-10-06,ET,80003,1238
2020-10-07,ET,80895,1255
2020-10-08,ET,81797,1262
2020-10-09,ET,82662,1271
2020-10-10,ET,83429,1277
2020-10-11,ET,84295,1287
2020-10-12,ET,85136,1301
2020-10-13,ET,85718,1305
2020-10-14,ET,86430,1312
2020-10-15,ET,87169,1325
2020-10-16,ET,87834,1337
2020-10-17,ET,88434,1346
2020-10-18,ET,89137,1352
2020-10-19,ET,89860,1365
2020-10-20,ET,90490,1371
2020-10-21,ET,91118,1384
2020-10-22,ET,91693,1396
2020-10-23,ET,92229,1400
2020-10-24,ET,92858,1419
2020-10-25,ET,93343,1426
2020-10-26,ET,93707,1437
2020-10-27,ET,94218,1445
2020-10-28,ET,94820,1451
2020-10-29,ET,95301,1457
2020-10-30,ET,95789,1464
2020-10-31,ET,96169,1469
2020-11-01,ET,96583,1478
2020-11-02,ET,96942,1489
2020-11-03,ET,97502,1494
2020-11-04,ET,97881,1503
2020-11-05,ET,98391,1508
2020-11-06,ET,98746,1512
2020-11-07,ET,99201,1518
2020-11-08,ET,99675,1523
2020-11-09,ET,99982,1530
2020-11-10,ET,100327,1537
2020-11-11,ET,100727,1545
2020-11-12,ET,101248,1554
2020-11-13,ET,101757,1558
2020-11-14,ET,102321,1565
2020-11-15,ET,102720,1569
2020-11-16,ET,103056,1581
2020-11-17,ET,103395,1588
2020-11-18,ET,103928,1601
2020-11-19,ET,104427,1607
2020-11-20,ET,104879,1620
2020-11-21,ET,105352,1636
2020-11-22,ET,105785,1647
2020-11-23,ET,106203,1651
2020-11-24,ET,106591,1661
2020-11-25,ET,107109,1664
2020-11-26,ET,107669,1672
2020-11-27,ET,108438,1686
2020-11-28,ET,108930,1695
2020-11-29,ET,109534,1700
2020-11-30,ET,110074,1706
2020-12-01,ET,110554,1709
2020-12-02,ET,110984,1715
2020-12-03,ET,111579,1724
2020-12-04,ET,112091,1734
2020-12-05,ET,112740,1745
2020-12-06,ET,113295,1747
2020-12-07,ET,113735,1755
2020-12-08,ET,114266,1766
2020-12-09,ET,114834,1769
2020-12-10,ET,115360,1779
2020-12-11,ET,115782,1791
2020-12-12,ET,116297,1803
2020-12-13,ET,116769,1806
2020-12-14,ET,117242,1809
2020-12-15,ET,117542,1813
2020-12-16,ET,118006,1818
2020-12-17,ET,118481,1831
2020-12-18,ET,119025,1843
2020-12-19,ET,119494,1846
2020-12-20,ET,119951,1853
2020-12-21,ET,120348,1861
2020-12-22,ET,120638,1864
2020-12-23,ET,120989,1870
2020-12-24,ET,121399,1882
2020-12-25,ET,121880,1897
2020-12-26,ET,122413,1901
2020-12-27,ET,122864,1909
2020-12-28,ET,123145,1912
2020-12-29,ET,123388,1913
2020-12-30,ET,123856,1918
2020-12-31,ET,124264,1923
2021-01-01,ET,124652,1937
2021-01-02,ET,125049,1944
2021-01-03,ET,125622,1948
2021-01-04,ET,125919,1950
2021-01-05,ET,126241,1963
2021-01-06,ET,126786,1965
2021-01-07,ET,127227,1966
2021-01-08,ET,127572,1974
2021-01-09,ET,127792,1985
2021-01-10,ET,128316,1994
2021-01-11,ET,128616,2003
2021-01-12,ET,128992,2004
2021-01-13,ET,129455,2006
2021-01-14,ET,129922,2008
2021-01-15,ET,130326,2023
2021-01-16,ET,130772,2029
2021-01-17,ET,131195,2030
2021-01-18,ET,131546,2033
2021-01-19,ET,131727,2037
2021-01-20,ET,132034,2044
2021-01-21,ET,132326,2057
2021-01-22,ET,132881,2060
2021-01-23,ET,133298,2063
2021-01-24,ET,133767,2066
2021-01-25,ET,134132,2071
2021-01-26,ET,134569,2075
2021-01-27,ET,135045,2083
2021-01-28,ET,135594,2085
2021-01-29,ET,136365,2087
2021-01-30,ET,137021,2091
2021-01-31,ET,137650,2093
2021-02-01,ET,138384,2103
2021-02-02,ET,138861,2116
2021-02-03,ET,139408,2122
2021-02-08,ET,142994,2156
2021-02-07,ET,142338,2148
2021-02-06,ET,141453,2145
2021-02-05,ET,140883,2136
2021-02-04,ET,140157,2126
