timestamp,admin0,actualCases,predictedCases,actualFatalities,predictedFatalities
2021-01-01,ET,124652,125402,1937,1926
2021-01-02,ET,125049,127686,1944,1934
2021-01-03,ET,125622,129646,1948,1942
2021-01-04,ET,125919,131352,1950,1949
2021-01-05,ET,126241,132832,1963,1957
2021-01-06,ET,126786,134112,1965,1965
2021-01-07,ET,127227,135221,1966,1973
2021-01-08,ET,127572,136194,1974,1981
2021-01-09,ET,127792,137072,1985,1989
2021-01-10,ET,128316,137897,1994,1997
2021-01-11,ET,128616,138679,2003,2005
2021-01-12,ET,128992,139408,2004,2013
2021-01-13,ET,129455,140090,2006,2021
2021-01-14,ET,129922,140731,2008,2030
2021-01-15,ET,130326,141338,2023,2038
2021-01-16,ET,130772,141920,2029,2046
2021-01-17,ET,131195,142486,2030,2054
2021-01-18,ET,131546,143045,2033,2063
2021-01-19,ET,131727,143593,2037,2071
2021-01-20,ET,132034,144130,2044,2080
2021-01-21,ET,132326,144658,2057,2089
2021-01-22,ET,132881,145177,2060,2098
2021-01-23,ET,133298,145688,2063,2107
2021-01-24,ET,133767,146195,2066,2116
2021-01-25,ET,134132,146698,2071,2126
2021-01-26,ET,134569,147202,2075,2135
2021-01-27,ET,135045,147706,2083,2145
2021-01-28,ET,135594,148208,2085,2155
2021-01-29,ET,136365,148709,2087,2166
2021-01-30,ET,137021,149208,2091,2177
2021-01-31,ET,137650,149707,2093,2188
