date,state,positive,death
2020-01-22,OR,0.0,0
2020-01-23,OR,0.0,0
2020-01-24,OR,0.0,0
2020-01-25,OR,0.0,0
2020-01-26,OR,0.0,0
2020-01-27,OR,0.0,0
2020-01-28,OR,0.0,0
2020-01-29,OR,0.0,0
2020-01-30,OR,0.0,0
2020-01-31,OR,0.0,0
2020-02-01,OR,0.0,0
2020-02-02,OR,0.0,0
2020-02-03,OR,0.0,0
2020-02-04,OR,0.0,0
2020-02-05,OR,0.0,0
2020-02-06,OR,0.0,0
2020-02-07,OR,0.0,0
2020-02-08,OR,0.0,0
2020-02-09,OR,0.0,0
2020-02-10,OR,0.0,0
2020-02-11,OR,0.0,0
2020-02-12,OR,0.0,0
2020-02-13,OR,0.0,0
2020-02-14,OR,0.0,0
2020-02-15,OR,0.0,0
2020-02-16,OR,0.0,0
2020-02-17,OR,0.0,0
2020-02-18,OR,0.0,0
2020-02-19,OR,0.0,0
2020-02-20,OR,0.0,0
2020-02-21,OR,0.0,0
2020-02-22,OR,0.0,0
2020-02-23,OR,0.0,0
2020-02-24,OR,0.0,0
2020-02-25,OR,0.0,0
2020-02-26,OR,0.0,0
2020-02-27,OR,0.0,0
2020-02-28,OR,0.0,0
2020-02-29,OR,1.0,0
2020-03-01,OR,1.0,0
2020-03-02,OR,3.0,0
2020-03-03,OR,3.0,0
2020-03-04,OR,3.0,0
2020-03-05,OR,3.0,0
2020-03-06,OR,3.0,0
2020-03-07,OR,6.0,0
2020-03-08,OR,14.0,0
2020-03-09,OR,14.0,0
2020-03-10,OR,14.0,0
2020-03-11,OR,19.0,0
2020-03-12,OR,24.0,0
2020-03-13,OR,30.0,0
2020-03-14,OR,36.0,0
2020-03-15,OR,36.0,1
2020-03-16,OR,39.0,1
2020-03-17,OR,66.0,1
2020-03-18,OR,75.0,3
2020-03-19,OR,88.0,3
2020-03-20,OR,114.0,3
2020-03-21,OR,137.0,4
2020-03-22,OR,161.0,5
2020-03-23,OR,191.0,5
2020-03-24,OR,210.0,8
2020-03-25,OR,266.0,10
2020-03-26,OR,316.0,11
2020-03-27,OR,416.0,12
2020-03-28,OR,479.0,13
2020-03-29,OR,548.0,13
2020-03-30,OR,606.0,16
2020-03-31,OR,690.0,18
2020-04-01,OR,736.0,19
2020-04-02,OR,826.0,21
2020-04-03,OR,899.0,22
2020-04-04,OR,899.0,22
2020-04-05,OR,1068.0,27
2020-04-06,OR,1068.0,27
2020-04-07,OR,1132.0,29
2020-04-08,OR,1181.0,33
2020-04-09,OR,1321.0,44
2020-04-10,OR,1322.0,44
2020-04-11,OR,1371.0,48
2020-04-12,OR,1527.0,52
2020-04-13,OR,1584.0,53
2020-04-14,OR,1633.0,55
2020-04-15,OR,1663.0,58
2020-04-16,OR,1736.0,64
2020-04-17,OR,1785.0,70
2020-04-18,OR,1844.0,72
2020-04-19,OR,1910.0,74
2020-04-20,OR,1957.0,75
2020-04-21,OR,2004.0,78
2020-04-22,OR,2059.0,78
2020-04-23,OR,2127.0,83
2020-04-24,OR,2177.0,86
2020-04-25,OR,2253.0,87
2020-04-26,OR,2311.0,92
2020-04-27,OR,2354.0,92
2020-04-28,OR,2385.0,99
2020-04-29,OR,2446.0,101
2020-04-30,OR,2510.0,103
2020-05-01,OR,2579.0,104
2020-05-02,OR,2635.0,109
2020-05-03,OR,2680.0,109
2020-05-04,OR,2759.0,109
2020-05-05,OR,2839.0,113
2020-05-06,OR,2916.0,115
2020-05-07,OR,2989.0,121
2020-05-08,OR,3068.0,124
2020-05-09,OR,3160.0,127
2020-05-10,OR,3228.0,127
2020-05-11,OR,3286.0,130
2020-05-12,OR,3358.0,130
2020-05-13,OR,3416.0,134
2020-05-14,OR,3479.0,137
2020-05-15,OR,3541.0,137
2020-05-16,OR,3612.0,137
2020-05-17,OR,3623.0,137
2020-05-18,OR,3687.0,138
2020-05-19,OR,3726.0,140
2020-05-20,OR,3801.0,144
2020-05-21,OR,3817.0,145
2020-05-22,OR,3864.0,147
2020-05-23,OR,3888.0,147
2020-05-24,OR,3927.0,148
2020-05-25,OR,3949.0,148
2020-05-26,OR,3967.0,148
2020-05-27,OR,4038.0,148
2020-05-28,OR,4086.0,151
2020-05-29,OR,4131.0,151
2020-05-30,OR,4185.0,153
2020-05-31,OR,4243.0,153
2020-06-01,OR,4302.0,154
2020-06-02,OR,4335.0,157
2020-06-03,OR,4399.0,159
2020-06-04,OR,4474.0,159
2020-06-05,OR,4570.0,161
2020-06-06,OR,4570.0,161
2020-06-07,OR,4662.0,163
2020-06-08,OR,4922.0,164
2020-06-09,OR,4988.0,169
2020-06-10,OR,5060.0,169
2020-06-11,OR,5237.0,171
2020-06-12,OR,5377.0,173
2020-06-13,OR,5377.0,173
2020-06-14,OR,5636.0,176
2020-06-15,OR,5820.0,180
2020-06-16,OR,6098.0,182
2020-06-17,OR,6218.0,183
2020-06-18,OR,6366.0,187
2020-06-19,OR,6572.0,188
2020-06-20,OR,6750.0,189
2020-06-21,OR,6937.0,190
2020-06-22,OR,7083.0,192
2020-06-23,OR,7274.0,192
2020-06-24,OR,7444.0,195
2020-06-25,OR,7568.0,197
2020-06-26,OR,7818.0,202
2020-06-27,OR,8094.0,202
2020-06-28,OR,8341.0,202
2020-06-29,OR,8485.0,204
2020-06-30,OR,8656.0,207
2020-07-01,OR,8931.0,208
2020-07-02,OR,9294.0,209
2020-07-03,OR,9636.0,209
2020-07-04,OR,9930.0,213
2020-07-05,OR,10230.0,215
2020-07-06,OR,10395.0,215
2020-07-07,OR,10605.0,220
2020-07-08,OR,10817.0,224
2020-07-09,OR,11188.0,230
2020-07-10,OR,11454.0,232
2020-07-11,OR,11851.0,232
2020-07-12,OR,12170.0,234
2020-07-13,OR,12438.0,237
2020-07-14,OR,12805.0,244
2020-07-15,OR,13081.0,247
2020-07-16,OR,13509.0,249
2020-07-17,OR,13802.0,254
2020-07-18,OR,14149.0,257
2020-07-19,OR,14579.0,260
2020-07-20,OR,14847.0,262
2020-07-21,OR,15139.0,269
2020-07-22,OR,15393.0,271
2020-07-23,OR,15713.0,273
2020-07-24,OR,16104.0,282
2020-07-25,OR,16492.0,285
2020-07-26,OR,16758.0,289
2020-07-27,OR,17088.0,289
2020-07-28,OR,17408.0,303
2020-07-29,OR,17721.0,311
2020-07-30,OR,18131.0,316
2020-07-31,OR,18492.0,322
2020-08-01,OR,18817.0,325
2020-08-02,OR,19097.0,326
2020-08-03,OR,19366.0,328
2020-08-04,OR,19699.0,333
2020-08-05,OR,19978.0,338
2020-08-06,OR,20224.0,339
2020-08-07,OR,20635.0,348
2020-08-08,OR,21010.0,355
2020-08-09,OR,21272.0,356
2020-08-10,OR,21488.0,357
2020-08-11,OR,21774.0,368
2020-08-12,OR,22022.0,375
2020-08-13,OR,22300.0,383
2020-08-14,OR,22613.0,385
2020-08-15,OR,23018.0,386
2020-08-16,OR,23262.0,388
2020-08-17,OR,23451.0,388
2020-08-18,OR,23676.0,397
2020-08-19,OR,23870.0,408
2020-08-20,OR,24165.0,412
2020-08-21,OR,24421.0,414
2020-08-22,OR,24710.0,417
2020-08-23,OR,24937.0,417
2020-08-24,OR,25155.0,420
2020-08-25,OR,25391.0,428
2020-08-26,OR,25571.0,433
2020-08-27,OR,25761.0,438
2020-08-28,OR,26054.0,447
2020-08-29,OR,26293.0,454
2020-08-30,OR,26554.0,458
2020-08-31,OR,26713.0,459
2020-09-01,OR,26946.0,464
2020-09-02,OR,27075.0,468
2020-09-03,OR,27336.0,470
2020-09-04,OR,27601.0,475
2020-09-05,OR,27856.0,480
2020-09-06,OR,28044.0,481
2020-09-07,OR,28190.0,482
2020-09-08,OR,28356.0,486
2020-09-09,OR,28471.0,494
2020-09-10,OR,28654.0,497
2020-09-11,OR,28865.0,499
2020-09-12,OR,29156.0,505
2020-09-13,OR,29337.0,509
2020-09-14,OR,29337.0,509
2020-09-15,OR,29662.0,519
2020-09-16,OR,29850.0,521
2020-09-17,OR,30060.0,521
2020-09-18,OR,30342.0,521
2020-09-19,OR,30599.0,525
2020-09-20,OR,30801.0,526
2020-09-21,OR,30995.0,529
2020-09-22,OR,31313.0,532
2020-09-23,OR,31503.0,538
2020-09-24,OR,31865.0,539
2020-09-25,OR,32314.0,542
2020-09-26,OR,32581.0,542
2020-09-27,OR,32820.0,543
2020-09-28,OR,32994.0,547
2020-09-29,OR,33291.0,555
2020-09-30,OR,33509.0,559
2020-10-01,OR,33862.0,560
2020-10-02,OR,34163.0,563
2020-10-03,OR,34511.0,571
2020-10-04,OR,34770.0,572
2020-10-05,OR,35049.0,572
2020-10-06,OR,35339.0,581
2020-10-07,OR,35634.0,583
2020-10-08,OR,36116.0,594
2020-10-09,OR,36526.0,597
2020-10-10,OR,36924.0,599
2020-10-11,OR,37255.0,599
2020-10-12,OR,37467.0,599
2020-10-13,OR,37780.0,605
2020-10-14,OR,38160.0,608
2020-10-15,OR,38525.0,611
2020-10-16,OR,38935.0,617
2020-10-17,OR,39315.0,619
2020-10-18,OR,39532.0,620
2020-10-19,OR,39794.0,627
2020-10-20,OR,40136.0,633
2020-10-21,OR,40443.0,635
2020-10-22,OR,40443.0,635
2020-10-23,OR,41348.0,649
2020-10-24,OR,41739.0,653
2020-10-25,OR,42101.0,653
2020-10-26,OR,42436.0,655
2020-10-27,OR,42808.0,664
2020-10-28,OR,43228.0,671
2020-10-29,OR,43793.0,673
2020-10-30,OR,44388.0,675
2020-10-31,OR,44921.0,689
2020-11-01,OR,45429.0,691
2020-11-02,OR,45978.0,692
2020-11-03,OR,46460.0,701
2020-11-04,OR,47049.0,705
2020-11-05,OR,47839.0,710
2020-11-06,OR,48608.0,716
2020-11-07,OR,49587.0,729
2020-11-08,OR,50448.0,730
2020-11-09,OR,51155.0,734
2020-11-10,OR,51909.0,737
2020-11-11,OR,52770.0,742
2020-11-12,OR,53879.0,746
2020-11-13,OR,54937.0,753
2020-11-14,OR,56018.0,759
2020-11-15,OR,56880.0,761
2020-11-16,OR,57646.0,765
2020-11-17,OR,58570.0,778
2020-11-18,OR,59669.0,788
2020-11-19,OR,60873.0,808
2020-11-20,OR,62175.0,812
2020-11-21,OR,63668.0,819
2020-11-22,OR,65170.0,820
2020-11-23,OR,66333.0,826
2020-11-24,OR,67333.0,847
2020-11-25,OR,68503.0,867
2020-11-26,OR,68503.0,867
2020-11-27,OR,70832.0,885
2020-11-28,OR,72506.0,896
2020-11-29,OR,74119.0,905
2020-11-30,OR,75431.0,912
2020-12-01,OR,76654.0,936
2020-12-02,OR,78160.0,953
2020-12-03,OR,79293.0,973
2020-12-04,OR,81437.0,1003
2020-12-05,OR,83243.0,1027
2020-12-06,OR,84496.0,1033
2020-12-07,OR,85788.0,1045
2020-12-08,OR,87082.0,1080
2020-12-09,OR,88287.0,1110
2020-12-10,OR,89838.0,1123
2020-12-11,OR,91420.0,1138
2020-12-12,OR,92839.0,1150
2020-12-13,OR,93853.0,1155
2020-12-14,OR,95010.0,1161
2020-12-15,OR,96092.0,1213
2020-12-16,OR,97622.0,1262
2020-12-17,OR,98936.0,1283
2020-12-18,OR,100308.0,1304
2020-12-19,OR,101814.0,1340
2020-12-20,OR,102930.0,1341
2020-12-21,OR,103755.0,1347
2020-12-22,OR,105073.0,1382
2020-12-23,OR,105970.0,1403
2020-12-24,OR,106821.0,1415
2020-12-25,OR,106821.0,1415
2020-12-26,OR,108326.0,1422
2020-12-27,OR,109725.0,1427
2020-12-28,OR,110545.0,1433
2020-12-29,OR,111227.0,1449
2020-12-30,OR,112260.0,1468
2020-12-31,OR,113909.0,1477
2021-01-01,OR,113909.0,1477
2021-01-02,OR,116348.0,1492
2021-01-03,OR,117745.0,1500
2021-01-04,OR,118453.0,1506
2021-01-05,OR,119488.0,1550
2021-01-06,OR,120223.0,1558
2021-01-07,OR,121085.0,1568
2021-01-08,OR,122847.0,1575
2021-01-09,OR,124476.0,1603
2021-01-10,OR,125683.0,1604
2021-01-11,OR,126607.0,1613
2021-01-12,OR,127780.0,1667
2021-01-13,OR,129109.0,1708
2021-01-14,OR,130246.0,1737
2021-01-15,OR,131258.0,1758
2021-01-16,OR,132412.0,1799
2021-01-17,OR,133205.0,1800
2021-01-18,OR,133851.0,1803
2021-01-19,OR,134468.0,1808
2021-01-20,OR,135142.0,1832
2021-01-21,OR,135973.0,1843
2021-01-22,OR,136839.0,1865
2021-01-23,OR,137600.0,1877
2021-01-24,OR,138168.0,1880
2021-01-25,OR,138587.0,1882
2021-01-26,OR,139355.0,1904
2021-01-27,OR,140063.0,1924
2021-01-28,OR,140783.0,1930
2021-01-29,OR,141729.0,1938
2021-01-30,OR,142416.0,1957
2021-01-31,OR,142416.0,1957
2021-02-01,OR,143373.0,1958
2021-02-02,OR,143978.0,1981
2021-02-03,OR,144605.0,1991
2021-02-04,OR,145320.0,1998
2021-02-05,OR,146137.0,2002
2021-02-06,OR,146741.0,2020
2021-02-07,OR,147122.0,2023
2021-02-08,OR,147419.0,2024
