timestamp,admin1,actualCases,predictedCases,actualFatalities,predictedFatalities
2021-01-01,OR,113909,116735,1477,1487
2021-01-02,OR,116348,122060,1492,1511
2021-01-03,OR,117745,126176,1500,1536
2021-01-04,OR,118453,129371,1506,1561
2021-01-05,OR,119488,131817,1550,1587
2021-01-06,OR,120223,133690,1558,1613
2021-01-07,OR,121085,135180,1568,1640
2021-01-08,OR,122847,136397,1575,1666
2021-01-09,OR,124476,137365,1603,1692
2021-01-10,OR,125683,138120,1604,1719
2021-01-11,OR,126607,138711,1613,1745
2021-01-12,OR,127780,139184,1667,1771
2021-01-13,OR,129109,139563,1708,1798
2021-01-14,OR,130246,139848,1737,1824
2021-01-15,OR,131258,140048,1758,1851
2021-01-16,OR,132412,140172,1799,1877
2021-01-17,OR,133205,140234,1800,1904
2021-01-18,OR,133851,140245,1803,1931
2021-01-19,OR,134468,140203,1808,1958
2021-01-20,OR,135142,140108,1832,1985
2021-01-21,OR,135973,139962,1843,2012
2021-01-22,OR,136839,139766,1865,2040
2021-01-23,OR,137600,139525,1877,2068
2021-01-24,OR,138168,139239,1880,2096
2021-01-25,OR,138587,138909,1882,2125
2021-01-26,OR,139355,138534,1904,2153
2021-01-27,OR,140063,138116,1924,2183
2021-01-28,OR,140783,137656,1930,2212
2021-01-29,OR,141729,137154,1938,2242
2021-01-30,OR,142416,136610,1957,2272
2021-01-31,OR,142416,136026,1957,2302
