S,E,I,Q_E,Q_I,R,F
4131973.0,60345.0,15086.0,15086.0,60345.0,0.0,912.0
4131973.0,60345.0,15086.0,15086.0,60345.0,0.0,912.0
4573528.338144822,59289.98651853914,16053.374460793671,14785.742797420173,59925.86699412419,756.7445203132118,978.092932926119
5060592.829445995,58265.39811907167,16989.575407509135,14491.461625841974,59505.94535304079,1518.140472946546,1044.6504515668234
5597859.283458583,57270.34772854647,17895.539893461042,14203.037549754796,59085.35738349386,2283.8696349640786,1111.6451211758992
6190519.911190944,56303.96824856312,18772.177820212495,13920.353970234915,58664.221770534714,3053.624280916474,1179.0503998793483
6844315.022923646,55365.412575196555,19620.372789974146,13643.296569887936,58242.653680222975,3827.106807929923,1246.8406069007765
7565454.388413008,54453.85964413203,20440.979028398986,13371.753483414084,57820.76443836941,4604.030937370604,1314.9910243628942
8360884.478871807,53568.50928037919,21234.826313506008,13105.615008955574,57398.66207026317,5384.119731897221,1383.477729249493
9238332.666505352,52708.58112403638,22002.720897011655,12844.773554329306,56976.451401341765,6167.10522436998,1452.2775619602082
10206307.224511476,51873.31463029065,22745.445504329826,12589.123637026873,56554.2340571911,6952.728417850592,1521.3681263105186
10206307.224511476,51873.31463029065,22745.445504329826,12589.123637026873,56554.2340571911,6952.728417850592,1521.3681263105186
11273704.588589782,51397.291069206476,23463.564527606588,12346.127117789756,56135.581111752595,7740.749995876911,1590.728725309624
12451550.501984894,50948.848554032265,24164.36899514066,12107.899027526668,55717.32192416122,8530.981050588132,1660.3430496709254
13751037.452855665,50526.982881169635,24848.585617969416,11874.348347343375,55299.539877852585,9323.253285975392,1730.196573657803
15183944.378447685,50130.762304830285,25516.89593602241,11645.38612643069,54882.314888883724,10117.41175147866,1800.2759129715628
16763867.145825576,49759.28216965742,26169.96080708962,11420.924916506825,54465.72463203113,10913.307647238687,1870.5682116149417
18506226.18934455,49411.66457989424,26808.420580710685,11200.878767839722,54049.84454943651,11710.798272924127,1941.0611375312928
20428266.51065041,49087.05839938397,27432.89509817488,10985.163229247042,53634.747850606735,12509.747027731535,2011.7428826045875
22549057.678679574,48784.63925156982,28043.983692521157,10773.695348096182,53220.50551241388,13310.02341038538,2082.6021626594156
24889493.829659037,48503.609519495025,28642.26518853811,10566.393670304253,52807.186279095215,14111.50301913804,2153.628217460984
27472293.667106397,48243.19834580282,29228.297902763996,10363.178240338095,52394.85666225319,14914.06755176979,2224.810810715118
30322000.46182984,48002.66163273645,29802.61964348672,10163.970601214276,51983.580940855456,15717.604805588813,2296.1402300682603
33464982.051928177,47781.28204213918,30365.747710743846,9968.693794499088,51573.42116123484,16522.008677431208,2367.607287107472
36934274.98530371,47578.34905575938,30918.195956279436,9777.27176973086,51164.438313963925,17327.174091518882,2439.202884876475
40764598.7901027,47393.20381979091,31460.449503474105,9589.630039726439,50756.69094902276,18133.004375558536,2510.918646456538
44985940.12658298,47225.264422595756,31992.939094989608,9405.696632516296,50350.233298606276,18939.418978019778,2582.747573064822
49634947.38629275,47073.96450837679,32516.084266656922,9225.400752073112,49945.118000305636,19746.340753536744,2654.682960160828
54755060.65497522,46938.752637072976,33030.29383156476,9048.67276261392,49541.39612876454,20553.69581975949,2726.7183852422513
60396511.712568775,46819.09228435932,33535.96588005955,8875.444188600093,49139.11719567921,21361.413557353982,2798.8477078449837
66616324.03320678,46714.46184164691,34033.48777974545,8705.64771473736,48738.32914979839,22169.426610002105,2871.0650695431136
73478312.78521787,46624.35461608289,34523.23617548436,8539.217185975787,48339.07837692336,22977.67088440166,2943.364893948925
81053084.83112563,46548.27883055049,35005.5769893959,8376.087607509793,47941.40969990792,23786.08555026636,3015.741886712898
89418038.72764876,46485.75762366897,35480.86542085742,8216.195144778141,47545.36637865839,24594.61304032584,3088.1910355237087
98657364.7257012,46436.32904979371,35949.445946504005,8059.477123463941,47150.990110133636,25403.19905032564,3160.7076101082293
108862044.77039176,46399.546079016116,36411.65232022846,7905.872029494651,46758.32102834503,26211.792539027225,3233.2871622315274
120129852.50102457,46374.97659716367,36867.807573181315,7755.319509042072,46367.39770435649,27020.34572820797,3305.925525696867
132565353.25109866,46362.20340579993,37318.22401377084,7607.760368522357,45978.25714628444,27828.814102661163,3378.618816345709
146279904.04830825,46360.824222224524,37763.203227663034,7463.136574596003,45590.934799297844,28637.15641019601,3451.363432057708
161391708.43936566,46370.451672804906,38203.03608431027,7321.391253377351,45205.46454695842,29445.334659454747,3524.156052564282
